"name","publishedAtDate","stars","state","text","title"
"Arif_Ibrahim68","2025-12-22T23:59:59.999Z",,"Selangor","Me and my family stayed here for 2 nites to attend a big family event nearby. The location is very strategic - easy access to main roads and highways. Also, just next to The Curve Mall which has many excellent restaurants and cafes. Ikea, KidZania and other interesting places are just walking distance.||We booked directly way in advance and we felt the room rates is very reasonable.||The rooms we stayed (4 rooms) are all decent although quite dated but still fully functional. ||My issues with this hotel are mostly related to its customer service. Firstly, we’re not sure whether this hotel has concierge services. It’s almost none existence when we were there. They are some people at the main entrance who wore security guard uniform. They did help us with our luggages when we first arrive but when we checked-out those guys with security uniform didn’t even bother to help with our luggages. Not sure whether they are security guards or the hotel concierge team.||The front desk team is efficient but not exactly the friendliest we have dealt with. A simple smile would have made them looks more friendlier.||The other area we’re not impressed was the services at the coffee house during the buffet breakfast. Granted that we were there during peak period with high occupancy rate but they should have been better prepared for the big crowd. The foods and drinks took way too long to be refilled. And whose “brilliant” idea to offer table-to-table personalised sandwich-making services during the peak period? Just make sure the basics are up to the mark first before offering this unnecessary fancy services.","Royale Chulan Damansara"
"zuhair azizi","2025-12-22T13:06:59.464Z","5","Selangor",,"Royale Chulan Damansara"
"Marnie Love","2025-12-22T11:33:23.818Z","1","Selangor","Very disappointing experience. I waited 2 hours just to get a towel!
I called the operator multiple times, and they said housekeeping would be informed, but nothing happened.
No follow-up, no sense of urgency, and no service recovery at all.Al
Definitely not coming back.","Royale Chulan Damansara"
"Liew Eva","2025-12-21T23:53:00.761Z","3","Selangor","21號入住，五樓。
首先停車場有EV charger，非常棒（但沒機會用😅就離開了）；

3點半辦理入住很順暢（沒有遇到其他住客投訴般的情況）；

這家hotel被Google標為5🌟，但房間的地毯有一股很重的類似腳氣味的霉味（用香水都無法掩蓋的嚴重）。再檢查了一下其他備品，發現房務沒有提供毛巾，我只能到門外和房務人員索取，外籍房務員很友善（這很明顯是房務部經理在把房間交給櫃檯時沒有做好自己的工作）；晚上外出回到房間，又發現浴室沒有腳踏毛巾，一家合格的飯店應該會提供吧…？已經很累也懶得打電話到櫃檯請人送上來了……

除了以上不好的，其他都還可以，尤其是它的地理位置。不論是開車或是搭MRT都可以去到多間購物商場，非常便利。

房間的價格算合理，但如果不是因為隔天行程安排和目的地的地理位置問題，我想以同樣的價格，我會選擇住另外一間更常住的。","Royale Chulan Damansara"
"Paez John","2025-12-21T10:07:13.264Z","1","Selangor","Despite the booking being fully paid well in advance, we were denied our room until 7:00 PM, even though the stated check-in time was 3:00 PM. After traveling a long distance, we were made to wait nearly four hours in the lobby with no proper explanation or accountability. This is completely unacceptable and demonstrates a serious failure in service standards and management competence.","Royale Chulan Damansara"
"جرير","2025-12-20T11:10:28.372Z","5","Selangor",,"Royale Chulan Damansara"
"Tung Hsu","2025-12-20T05:14:52.549Z","4","Selangor","Hotel service people Very Friendly","Royale Chulan Damansara"
"Yee Theng Lim","2025-12-19T07:04:16.606Z","4","Selangor",,"Royale Chulan Damansara"
"azue zakaria","2025-12-16T08:37:49.057Z","2","Selangor","Significant Check-In Delay with Poor Service Recovery

I stayed at Royale Chulan Damansara from 13–14 December. The room itself was acceptable; however, the check-in process reflected serious operational shortcomings.

Although the official check-in time is 3:00 PM, I only received my room key at 4:27 PM. This was despite being informed shortly after 3:00 PM that a room was already available and being asked to collect my key. I joined the queue at 3:11 PM, with only two to three guests ahead of me, yet the process took over an hour due to inefficient coordination at the front desk.

This delay caused me to miss a scheduled makeup appointment and disrupted my preparation for an important evening event. No proactive explanation or meaningful service recovery was offered at the time.

The following day, a modest late check-out request was initially declined and only approved after further explanation, despite the significantly delayed check-in.

I understand the hotel was fully booked; however, high occupancy does not justify missed service standards or inadequate recovery efforts. Based on this experience, the overall service did not align with the expectations set by the hotel’s reputation.","Royale Chulan Damansara"
"Eddie Eddiemisai","2025-12-15T10:32:27.243Z","5","Selangor","Need a rest n relax here
Awesome","Royale Chulan Damansara"
"Zawin Hannan Sofea","2025-12-14T04:44:02.155Z","5","Selangor",,"Royale Chulan Damansara"
"Ain Nurintan","2025-12-13T12:00:05.418Z","1","Selangor","Extremely disappointing and unprofessional experience at Royal Chulan Damansara.

On 13 December 2025, my family and I arrived at 1.00 PM for check-in, having booked seven rooms. We were informed the rooms were not ready and were asked to wait until 3.00 PM. We waited patiently. At 3.00 PM, the rooms were still not ready, and no clear explanation or apology was given.

What followed was six hours of waiting in the lobby. Room keys were released slowly and inconsistently, and the final two rooms were only handed over at 7.00 PM, and only after we raised our voices in frustration. It should never require confrontation for guests to receive what they have already paid for.

Throughout this entire period:
•	There were no sincere apologies from front desk staff or management.
•	The General Manager did not properly address the situation and was seen walking past without acknowledging us.
•	No refreshments or proper seating arrangements were offered, despite children and elderly family members (including guests in their 80s) being present.
•	Front desk staff openly discussed housekeeping failures in front of guests, which was highly unprofessional.
•	Other hotel guests looked at us as though we were not paying customers, which was humiliating.

The most telling moment was that a bell boy showed more empathy and professionalism than the front desk or management by offering us a luggage trolley to sit on. That alone speaks volumes.

This incident occurred the day before a family wedding, turning what should have been a calm and meaningful time into one of stress, exhaustion, and frustration. We chose this hotel based on its reputation and reviews, but the reality fell far short of the standards it claims to uphold.

Regardless of whether a guest books one room or seven, every paying customer deserves basic dignity, communication, and hospitality. Unfortunately, none of these were demonstrated here.

This experience was unacceptable. I would not recommend this hotel based on our experience.

- Update: After receiving the keys, the manager explained that he thought one of us was hotel staff sitting on the floor (because he was wearing black - hence why he didn’t approach us) What kind if idiotic reasoning is this. Then, he further explained that the lateness is due to outsourcing of bedsheet linens that arrived at 5.30PM. Yet, we only received our rooms after 7PM.

Moreover, after entering our rooms, only one towel was provided per room. Is this really a 4 star hotel? Nonsense!","Royale Chulan Damansara"
"Anna Jannatul","2025-12-12T14:43:13.276Z","5","Selangor",,"Royale Chulan Damansara"
"Man Last","2025-12-11T14:39:14.340Z","5","Selangor","fantastic","Royale Chulan Damansara"
"JunHong Ng","2025-12-09T13:33:30.052Z","5","Selangor","Smooth check in and check out.
Comfortable mattress and room
Delicious and variety of choices for breakfast buffet.
Convenient location.","Royale Chulan Damansara"
"Fazli Kamal","2025-12-09T11:02:00.030Z","4","Selangor","Dinner","Royale Chulan Damansara"
"Trip.com Member","2025-12-08T23:59:59.999Z",,"Selangor","Very good hotel stay experience.","Royale Chulan Damansara"
"Trip.com Member","2025-12-08T23:59:59.999Z",,"Selangor","its an old hotel, so the furnishings, towels are old ones but clean.spacious room.good breakfast spread! walkable to the curve.","Royale Chulan Damansara"
"Trip.com Member","2025-12-07T23:59:59.999Z",,"Selangor","Convenient location, walkable to the curve, ikea and mrt station. Big, spacious room and RM4/day for parking which is very reasonable.","Royale Chulan Damansara"
"Trip.com Member","2025-12-07T23:59:59.999Z",,"Selangor","Clean and spacious room. Breakfast is really good as well","Royale Chulan Damansara"
"Trip.com Member","2025-12-06T23:59:59.999Z",,"Selangor","Near ikea and station, 50 m walk to Lrt by train.","Royale Chulan Damansara"
"Dhijeedthiran Naidu Chandren","2025-12-06T23:55:33.586Z","5","Selangor",,"Royale Chulan Damansara"
"Wan Raina","2025-12-06T15:02:30.253Z","5","Selangor",,"Royale Chulan Damansara"
"Suhaimi Mohamad","2025-12-06T14:53:59.779Z","1","Selangor","Bad services and bad room conditions. Service are very slow. Room 423. Television remote not working. Television signal transmitter bad signal. Toilet light flicker. Static current sound at the toilet switch when u off or on. Ask hotel technician they cannot do anything to it. Just waiting for guest to get electrocuted.","Royale Chulan Damansara"
"Hilman Ramlan","2025-12-06T03:51:28.999Z","5","Selangor","Terbaik","Royale Chulan Damansara"
"Trip.com Member","2025-12-05T23:59:59.999Z",,"Selangor","We arrived at the hotel around 6:00 PM, but our room was still not ready. The staff gave us a key card, but when we reached the room, the door was locked from the inside. We knocked many times before a housekeeping staff finally opened the door, looking like they just woke up, and told us the room was not prepared at all. We were left waiting outside for more than 30 minutes, which is completely unacceptable.Around 9:00 PM, the room next door became very noisy for hours. It sounded like a big family gathering — loud talking, kids running, knocking on doors. It felt unsafe and made it impossible to rest.Communication with the hotel was also terrible. Many operators could not understand English, and shockingly, some couldn’t even understand basic Malay. We had to call many times just to get someone to pick up the phone.For a double room, the hotel only provided one towel and one toothbrush, showing the room was not properly prepared at all.This whole experience was extremely disappointing — late check-in, room not ready, poor communication, noise and safety issues, and lack of basic amenities. The hotel seriously needs to improve its standards.我们大概下午6点到酒店，结果房间竟然还没准备好。前台给了我们房卡，我们去到房间时发现房门从里面反锁。我们敲了好几次，里面的清洁员才开门，而且一脸像刚睡醒，说房间根本还没整理。我们就这样被迫站在门口等了超过30分钟，非常离谱。到了晚上9点左右，隔壁房间开始非常吵，像一家人开派对一样，不停敲门、讲话、走动，吵了好几个小时，严重影响安全感和休息。酒店沟通也很糟糕。很多接线员听不懂英语，更夸张的是连简单的马来语也听不懂。我们打了好几通电话过去都没人接，拖了很久才有人回应。另外，我们住的是双人房，却只给了一条毛巾和一支牙刷。根本不像是准备好的房间。整段住宿体验真的非常差：延迟入住、房间没准备、设施不足、服务沟通不良、隔壁吵闹、安全隐患，全部都集中在同一天发生。酒店管理真的需要全面改进。","Royale Chulan Damansara"
"Trip.com Member","2025-12-05T23:59:59.999Z",,"Selangor","Royale Chulan Damansara is quite strategic location. There are many restaurants around as well we shopping centres. All by walking distance.","Royale Chulan Damansara"
"Trip.com Member","2025-12-04T23:59:59.999Z",,"Selangor","The hotel location is very convenient for me to visit my relatives who stay in PJ and lots of eating places and shopping in Curve. The hotel breakfast is good with a variety of food.","Royale Chulan Damansara"
"Trip.com Member","2025-12-04T23:59:59.999Z",,"Selangor","Good location, near The Curve mall and IPC, and near LRT station. Good breakfast with western & Asian varieties","Royale Chulan Damansara"
"Trip.com Member","2025-12-04T23:59:59.999Z",,"Selangor","A specious room and modern style furniture. However the air-conditioning is not that cold. Quite stuffy during the day. No aircond at the walkway. The lighting is too dim, I have to make up inside the bathroom..The breakfast is good.","Royale Chulan Damansara"
"Trip.com Member","2025-12-04T23:59:59.999Z",,"Selangor","loveeeeeee always","Royale Chulan Damansara"
"TTTKK Khor","2025-12-04T13:53:39.487Z","1","Selangor","We arrived at the hotel around 6:00 PM, but our room was still not ready. The staff gave us a key card, but when we reached the room, the door was locked from the inside. We knocked many times before a housekeeping staff finally opened the door, looking like they just woke up, and told us the room was not prepared at all. We were left waiting outside for more than 30 minutes, which is completely unacceptable.

Around 9:00 PM, the room next door became very noisy for hours. It sounded like a big family gathering — loud talking, kids running, knocking on doors. It felt unsafe and made it impossible to rest.

Communication with the hotel was also terrible. Many operators could not understand English, and shockingly, some couldn’t even understand basic Malay. We had to call many times just to get someone to pick up the phone.

For a double room, the hotel only provided one towel and one toothbrush, showing the room was not properly prepared at all.

This whole experience was extremely disappointing — late check-in, room not ready, poor communication, noise and safety issues, and lack of basic amenities. The hotel seriously needs to improve its standards.

我们大概下午6点到酒店，结果房间竟然还没准备好。前台给了我们房卡，我们去到房间时发现房门从里面反锁。我们敲了好几次，里面的清洁员才开门，而且一脸像刚睡醒，说房间根本还没整理。我们就这样被迫站在门口等了超过30分钟，非常离谱。

到了晚上9点左右，隔壁房间开始非常吵，像一家人开派对一样，不停敲门、讲话、走动，吵了好几个小时，严重影响安全感和休息。

酒店沟通也很糟糕。很多接线员听不懂英语，更夸张的是连简单的马来语也听不懂。我们打了好几通电话过去都没人接，拖了很久才有人回应。

另外，我们住的是双人房，却只给了一条毛巾和一支牙刷。根本不像是准备好的房间。

整段住宿体验真的非常差：延迟入住、房间没准备、设施不足、服务沟通不良、隔壁吵闹、安全隐患，全部都集中在同一天发生。酒店管理真的需要全面改进。","Royale Chulan Damansara"
"Sharifah Norliza","2025-12-04T11:38:39.452Z","5","Selangor",,"Royale Chulan Damansara"
"Trip.com Member","2025-12-03T23:59:59.999Z",,"Selangor","酒店很复古城堡风，如果需要半夜入住记得先通知酒店，不然错过就取消了","Royale Chulan Damansara"
"Trip.com Member","2025-12-02T23:59:59.999Z",,"Selangor","Services as expected. Toilet should be improved. Got rust issue in my room","Royale Chulan Damansara"
"Trip.com Member","2025-12-02T23:59:59.999Z",,"Selangor","Good hotel, great value for money.Service should improve. When I entered the room I didn't have towels, I had to ask 3 times to get towels. I had to go downstairs by myself to get the towels as nobody would deliver them to me.","Royale Chulan Damansara"
"Trip.com Member","2025-12-01T23:59:59.999Z",,"Selangor","地点适中，去各大商超都很靠近","Royale Chulan Damansara"
"Trip.com Member","2025-12-01T23:59:59.999Z",,"Selangor","This is an old Hotel, so you can expect a classic deco in the room, but room is spacious, clean & tidy. No comment.They will charge you RM4 per day for a parking.Breafast spread is good. But one thing I cannot tolerate is that we witness the Hotel Management staff join the buffet with the guest. I’ve been around the world, and this is the only place you can see this.The have gym outside pool and the staff are attentive.","Royale Chulan Damansara"
"on chihui","2025-12-01T00:20:06.121Z","2","Selangor","suasana n design yg selesa n elegant. but the buffet breakfast on 30/11 was horrible.  at 8.25am, the food had finished, left only mee goreng, fried rice, n nasi lemak without the fried chicken.  the kitchen only added on for fried popiah, salad, sausages n porridge all the cheap dishes.  fried egg n roti canai were very slow n limited.  only a handful (say 3) of meat dishes, at 8.25am left only sausages. horrendous! even for the hotel feedback form, there is no question for negative feedback but only ask for the positive one. are they trying to live in their fantasy world?   this is really disgusting.","Royale Chulan Damansara"
"Trip.com Member","2025-11-30T23:59:59.999Z",,"Selangor","Overall good. Just that the sound proofing is a bit bad as in you can hear next door talking if they raised their voice and you can hear kids screaming clearly in the hallway in the morning.","Royale Chulan Damansara"
"Trip.com Member","2025-11-30T23:59:59.999Z",,"Selangor","Bathroom basin need to be cleaned up thoroughly.","Royale Chulan Damansara"
"Trip.com Member","2025-11-30T23:59:59.999Z",,"Selangor","The only downside to this stay is trying to call the receptionist 6 times but no body picked up the phone. After 7th time only somebody picked up the phone. When I told her that I have been calling for 6 times, no apology was given, straight away ask what do I want. ","Royale Chulan Damansara"
"Afiq Syaf","2025-11-30T01:54:20.436Z","1","Selangor","Hari Khamis yang lepas 27 Nov. Call 6
4 kali tak berjawab. kali ke 7 baru jawab, itu pun staff perempuan yang angkat bila diberitahu saya call 6 kali tak jawab, respon yang diberi ""oh, ok, jadi apa yang En nak ye""? ini ke Etika yang dilatih pada receptionist???? Next time mohon pihak management samada latih staff betul-betul. Ini kali terakhir saya stay disini. First visit, waktu sarapan pagi, staff di dining room main angkat pinggan, langsung tak tanya samada dah habis atau belum, kali kedua visit call 6 kali disebabkan akan lambat check-in, minta maaf tidak, apa pun tidak.","Royale Chulan Damansara"
"Trip.com Member","2025-11-29T23:59:59.999Z",,"Selangor","Was our 2nd stay within a month. I complaint about the mini fridge was not working and it smell and I actually keep food/fruits in there and the reception will send someone AND NO ONE CAME, To me either one or two nights stay, they have to response immediately unless they are busy and inform us whatever, am I right? Understood this hotel I quite old as well and claimed 5 stars, please consider refurbishment already specially the shower and toilets sink flooring, all need grouting.","Royale Chulan Damansara"
"Trip.com Member","2025-11-29T23:59:59.999Z",,"Selangor","房间大，干净，附近有商场，很方便","Royale Chulan Damansara"
"Trip.com Member","2025-11-29T23:59:59.999Z",,"Selangor","Best and good","Royale Chulan Damansara"
"Trip.com Member","2025-11-29T23:59:59.999Z",,"Selangor","The room and bed is cozy and comfortable even though the premises is old , but the towel provided need to be improved as got stain and yellowish . The toilet wall got black fungus need to be cleaned.","Royale Chulan Damansara"
"Mohammed","2025-11-29T15:39:13.566Z","5","Selangor",,"Royale Chulan Damansara"
"Sami","2025-11-29T07:02:39.817Z","5","Selangor",,"Royale Chulan Damansara"
"Khaled Alnaqeed","2025-11-27T12:46:53.504Z","4","Selangor",,"Royale Chulan Damansara"
"carl","2025-11-27T10:34:11.595Z","1","Selangor","What a terrible experience w RCD Hotel! ordered food and waited for an hour to be delivered to the room, while the food is already ready . ermmm","Royale Chulan Damansara"
"Trip.com Member","2025-11-26T23:59:59.999Z",,"Selangor","The stay at Royale Chulan Damansara was excellent. The staff were professional and attentive, making the entire experience smooth and welcoming. The hotel's location is ideal, with easy access to shopping and transportation. My child especially loved the kid-friendly facilities, which kept them happily entertained throughout our visit. Highly recommended for families and anyone looking for a comfortable, convenient stay.","Royale Chulan Damansara"
"Trip.com Member","2025-11-26T23:59:59.999Z",,"Selangor","Nice stay,nice room,staff friendly. Breakfast ok.......","Royale Chulan Damansara"
"Trip.com Member","2025-11-26T23:59:59.999Z",,"Selangor","Hotel klasik namun kebersihan sangat terawat khususnya area kamar mandi, kamar sedikit agak gelap kurang pencayahaan","Royale Chulan Damansara"
"Trip.com Member","2025-11-24T23:59:59.999Z",,"Selangor","No issues with service. The location of the hotel was also good, as it is very near to the MRT station. The lobby is nice and clean but my room (514) has an old and faded desk. Paint seems to have been washed off, corners of the table has bits of the formica coming off. Carpet is stained. Bathroom looks dirty with stains and/or mildew. There were no towels in the room. Had to call Hsekeeping for them. There were no stirrer or spoons for making coffee.Breakfast was good and had a good variety to choose from. The overhead bridge connecting to the mall next door was closed. There was no bottled water in the fridge it my friends' room had bottled water","Royale Chulan Damansara"
"Trip.com Member","2025-11-24T23:59:59.999Z",,"Selangor","For staycations or leisure: If you want a hotel that’s close to shopping (The Curve, IKEA, etc.) and you don’t mind slightly older décor, this is a very solid pick. • For families: Spacious rooms are a plus, and plenty of places around for food and activities. • For business travelers: Good business facilities, easy access to transportation, and decent service make it practical. • For value-conscious travelers: You can potentially find good deals, especially if you don’t need brand-new interiors.","Royale Chulan Damansara"
"Hammidah Shaari","2025-11-24T05:30:01.359Z","3","Selangor","They have excellent staff but not in housekeeping","Royale Chulan Damansara"
"Trip.com Member","2025-11-23T23:59:59.999Z",,"Selangor","Very nice hotel to stay and staff very polite.For breakfast, I think should be more variety foods. In my experience stay for 2 nights, foods same. Only change 2-3 dishes.","Royale Chulan Damansara"
"K. M. CHING (Apek)","2025-11-23T10:16:47.025Z","5","Selangor",,"Royale Chulan Damansara"
"Ay Bee","2025-11-23T09:43:01.916Z","2","Selangor",,"Royale Chulan Damansara"
"Trip.com Member","2025-11-22T23:59:59.999Z",,"Selangor","干净，服务好","Royale Chulan Damansara"
"Trip.com Member","2025-11-22T23:59:59.999Z",,"Selangor","For its price, it’s good. You get all the toiletries and sleepers.  One feedback is that I have extended my stay and communicated to the front desk and got confirmation from the front desk. But i received a call from the front desk requesting me to check out. There should be a proper communication and update from the front desk on my extension.","Royale Chulan Damansara"
"Trip.com Member","2025-11-22T23:59:59.999Z",,"Selangor","Comfortable room with cozy bed. Check in was easy breezy and convenient MRT to my workplace at Sunway Nexis. Breakfast was hearty and good surrounding.","Royale Chulan Damansara"
"Aliff co","2025-11-22T06:21:01.996Z","5","Selangor",,"Royale Chulan Damansara"
"Tan Teong Ming","2025-11-22T05:23:21.846Z","5","Selangor",,"Royale Chulan Damansara"
"Trip.com Member","2025-11-21T23:59:59.999Z",,"Selangor","I booked this hotel because I had to attend a conference at One World Hotel and it costs a lot more to stay there for 2 nights. This hotel has designated parking for customers, and is only few min from the other hotel I had to go. It is located near the curve, Ikea and IPC which makes it very convenient for us. Location and parking availability wise, it’s perfect. Ambience of the hotel is good too. Looks fancy and nice. The room was a bit old but really spacious and I love the deco too. The only two unfortunate events was that we had to wait thirty min ish to check in even though we arrived at 6pm. We were only given our access card around 6:35pm but we were not reimbursed with a late checkout. The other time was a lift breakdown around 10pm when hub wanted to pick me up but no signage were put at our floor. Hub waited and ended up walking down ten floors worth of stairs 😂 only to find out that the lift broke down. Anyway, it was resolved by the time we reached back at the hotel. Breakfast was basic but good enough to fill our stomach. Overall I would give a 4.5/5 for this stay.","Royale Chulan Damansara"
"Trip.com Member","2025-11-21T23:59:59.999Z",,"Selangor","Rooms are spacious and comfortable beds","Royale Chulan Damansara"
"Rocky Joseph Pesik","2025-11-21T14:26:52.702Z","5","Selangor","The hotel is old but very well maintained. Rooms are spacious and clean. Very near to ahopping centera.","Royale Chulan Damansara"
"Trip.com Member","2025-11-20T23:59:59.999Z",,"Selangor","I always stay at Chulan when I at at PJ. Have to charge my EV and it’s convenient. However the cost of charging at the B1 carpark is very expensive in terms of conversion rate. MYR36.06 = S$30.80What is this ????","Royale Chulan Damansara"
"Mr. Roy","2025-11-20T09:35:15.708Z","4","Selangor","Affordable price abd breakfast was nice","Royale Chulan Damansara"
"Shahrul Anuar","2025-11-19T09:52:51.724Z","5","Selangor","Good","Royale Chulan Damansara"
"Trip.com Member","2025-11-18T23:59:59.999Z",,"Selangor","Royale Chulan Damansara provides a professional and comfortable stay suitable for corporate guests. The rooms are clean, well-maintained, and equipped for both rest and productivity. Staff service is courteous and efficient, and the hotel’s strategic location within the Mutiara Damansara commercial area offers excellent accessibility to meeting venues, dining, and retail outlets. Overall, the hotel delivers a reliable and convenient experience for business travellers and organisational events.","Royale Chulan Damansara"
"Trip.com Member","2025-11-18T23:59:59.999Z",,"Selangor","洒店附近就有地铁站方便, 服务员也很好, 只是枕头比较不好睡, 如果换了会更好！毕竟睡眠质量是很重要的","Royale Chulan Damansara"
"samato J","2025-11-17T07:13:46.766Z","4","Selangor",,"Royale Chulan Damansara"
"aiguan taylor","2025-11-16T15:48:31.722Z","3","Selangor","Very disappointed at the pool 😭 the pool security was at the pool for towels BUT not doing his job to stop this couple from their swimming attire, yea I totally respect that they need to cover up because of the religion but C’mon this is NOT ACCEPTABLE, they wearing their regular daily outfit, not swimming attires at all😭 maybe I should wear long jeans and tshirt to the pool then, I GUARANTEE IF I WEAR A BIKINI WITH THONGS sure they will stop me 😭
And the concierge claimed is 5 ⭐","Royale Chulan Damansara"
"Trip.com Member","2025-11-15T23:59:59.999Z",,"Selangor","Check-in was smooth and efficient. The receptionist was courteous and proactive, kindly assisting me in switching from the originally booked twin room near the lift to a quieter king-size room, which I greatly appreciated.Breakfast was satisfactory, though seating was limited to outdoor tables with no air conditioning. When I asked a staff member to clear a table, she appeared indifferent and disengaged, offering no greeting or smile. Fortunately, another team member responded promptly and courteously, preparing a table swiftly and professionally.While the parking fee was minimal at RM4, complimentary parking for overnight guests would be a welcome gesture and help streamline the arrival/exit process. Additionally, clearer signage is needed to indicate that the car park entrance is located behind stalls set up along the usual access road, as this caused some confusion.","Royale Chulan Damansara"
"Trip.com Member","2025-11-15T23:59:59.999Z",,"Selangor","不错，很满意","Royale Chulan Damansara"
"Trip.com Member","2025-11-14T23:59:59.999Z",,"Selangor","房间很大，就是年分有点久了","Royale Chulan Damansara"
"KC Low","2025-11-14T05:36:32.180Z","4","Selangor",,"Royale Chulan Damansara"
"ngengkiang","2025-11-13T23:59:59.999Z",,"Selangor","Spacious room some hardware are hard to find eg wooden curtain, drinking water besides sink.   Great location, walking distance to The Curve, IKEA.|Rooms was old and needed refurbishment. TV was too small and signal not good. Image quality is bad. Broken clothes hanger in bathroom, shower head also leaking","Royale Chulan Damansara"
"Adiena Johari","2025-11-13T11:51:44.019Z","5","Selangor",,"Royale Chulan Damansara"
"Anis Amira","2025-11-13T08:46:42.122Z","5","Selangor","always loved attending weddings here.","Royale Chulan Damansara"
"Colin","2025-11-12T05:42:39.080Z","3","Selangor","Rooms are quite old and a bit run down.
Breakfast buffet is quite good. Live egg and prata stations. They also have a crew going around serving croissants and fresh juice","Royale Chulan Damansara"
"Ismail Kamarul Jaman (Clusco Mael)","2025-11-12T02:56:03.607Z","4","Selangor",,"Royale Chulan Damansara"
"Trip.com Member","2025-11-11T23:59:59.999Z",,"Selangor","My timing wasnt good..too many function there while my stay but my to hotel everytime i go damansara","Royale Chulan Damansara"
"Sumit Shukla","2025-12-30T03:04:29.782Z","4","Federal Territory of Kuala Lumpur","Good","Royale Chulan Kuala Lumpur"
"mohdbazmeer Avani","2025-12-29T10:42:25.117Z","5","Federal Territory of Kuala Lumpur",,"Royale Chulan Kuala Lumpur"
"CAPITAL N","2025-12-28T04:11:06.730Z","5","Federal Territory of Kuala Lumpur",,"Royale Chulan Kuala Lumpur"
"SAMIR VASAVADA","2025-12-27T19:50:13.037Z","5","Federal Territory of Kuala Lumpur","Excellent Place in Kuala Lumpur.","Royale Chulan Kuala Lumpur"
